                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2689,                 4.4309,                 3.1178,                 1.9866,                0.06867,                0.54211,                0.13195,                 0.0414,                0.06067,                0.47895,                0.12086,                0.03368,                 2.1782,                 3.5543,                 2.8322,                  1.843,                0.00032,                0.00032,                0.00032
                      2,                 1.8945,                 3.0752,                 1.7798,                 1.5226,                0.39262,                0.33158,                0.25723,                0.09078,                0.34563,                0.30301,                0.21197,                0.06613,                 2.1734,                 3.7301,                 2.3125,                 1.8917,             0.00059466,             0.00059466,             0.00059466
                      3,                 1.7498,                 2.8875,                  1.495,                 1.5102,                0.52734,                   0.55,                0.47487,                0.17805,                0.52947,                0.50526,                0.45867,                0.13332,                  2.209,                 3.5808,                 1.8327,                 1.9426,               0.000802,               0.000802,               0.000802
                      4,                  1.733,                 2.7526,                 1.3578,                 1.4841,                0.43068,                0.48421,                0.39435,                0.15382,                0.42047,                0.48158,                0.39056,                0.14199,                 2.1396,                 3.5046,                 1.7517,                 1.8667,             0.00094202,             0.00094202,             0.00094202
                      5,                  1.693,                 2.6979,                 1.3355,                 1.4456,                0.54987,                0.56842,                0.47511,                0.17549,                0.50405,                0.52105,                0.39757,                0.12154,                 2.1605,                 4.0573,                  1.649,                 1.8208,              0.0010147,              0.0010147,              0.0010147
                      6,                 1.6057,                 2.6399,                 1.3295,                 1.3995,                0.65505,                0.66579,                0.65469,                0.27259,                0.60818,                0.62368,                0.56633,                0.17664,                  1.941,                 3.5087,                 1.5708,                 1.6931,                0.00101,                0.00101,                0.00101
                      7,                 1.5588,                 2.6224,                 1.2668,                 1.3702,                0.66024,                0.62632,                0.59403,                0.24853,                0.64217,                0.63684,                0.56597,                0.18463,                 1.9701,                 3.3275,                 1.5273,                 1.7354,                0.00101,                0.00101,                0.00101
                      8,                 1.5608,                 2.5537,                 1.2321,                 1.3707,                0.64787,                0.63158,                0.66722,                0.29277,                0.63977,                0.62368,                0.64733,                0.23404,                 1.8423,                 3.0008,                  1.507,                 1.6491,               0.000812,               0.000812,               0.000812
                      9,                 1.5026,                 2.4895,                 1.1866,                 1.3299,                0.77557,                0.70526,                0.76972,                0.34337,                0.73386,                0.69211,                0.71235,                0.26208,                 1.7691,                   2.84,                 1.3919,                  1.599,               0.000614,               0.000614,               0.000614
                     10,                 1.4707,                 2.4136,                  1.145,                 1.3026,                0.80326,                0.73063,                0.80905,                 0.3435,                 0.8051,                0.69211,                0.75411,                0.28218,                 1.7337,                 2.8158,                 1.3403,                 1.5977,               0.000416,               0.000416,               0.000416
